
Title,Author/Org,Year,URL,Accessed-On,Claim(s) Supported
Lexis+ AI – Generative AI for Legal Research,LexisNexis,2025,https://www.lexisnexis.com/en-us/products/lexis-plus-ai.page,2025-08-29,States that Lexis+ AI can generate legal documents with linked citations and references; pricing is customised (contact for quote).
AI‑Assisted Research – Westlaw Precision,Thomson Reuters,2025,https://legal.thomsonreuters.com/en/products/westlaw-precision/ai,2025-08-29,Claims that AI‑assisted research provides answers linked to trusted Westlaw authority; customer testimonials emphasise supporting resources.
Source Tool – AskYourPDF,AskYourPDF,2024,https://askyourpdf.com/source-tool,2025-08-29,Says the tool automatically cites and creates references for academic text.
AskYourPDF Copilot: A Quick Start Guide,AskYourPDF,2024,https://askyourpdf.com/blog/askyourpdf-copilot-quick-start-guide,2025-08-29,Explains how users can click “Cite” to generate citations from uploaded documents.
AskYourPDF Pricing,AskYourPDF,2024,https://askyourpdf.com/pricing,2025-08-29,Lists Free plan and paid plans: Premium $11.99/month (billed yearly) and Pro $14.99/month (billed yearly) with document and question limits.
Using Search in ChatGPT,OpenAI Help Center,2024,https://help.openai.com/en/articles/1345438-using-search-in-chatgpt,2025-08-29,Notes that ChatGPT search responses include inline citations and a “Sources” button showing all sources.
How much does ChatGPT Plus cost?,OpenAI Help Center,2024,https://help.openai.com/en/articles/9881736-how-much-does-chatgpt-plus-cost,2025-08-29,States that ChatGPT Plus costs $20/month and includes access to advanced models and features.
State of Consumer AI Report,Menlo Ventures,2024,https://www.menloventures.com/state-of-consumer-ai,2025-08-29,Estimates that 1.8 billion users paying $20/month would yield $432 B revenue but current premium subscribers are ~3% of users; ChatGPT conversion is ~5% of weekly active users.
Pinecone Pricing,Pinecone,2025,https://www.pinecone.io/pricing,2025-08-29,Standard plan has $50/month minimum and Enterprise plan has $500/month minimum.
Understanding Pinecone Costs,Pinecone Documentation,2025,https://docs.pinecone.io/docs/cost,2025-08-29,"Explains serverless cost components: read units, write units, storage; notes minimum RUs per query and sublinear scaling."
How to Manage Serverless Costs with Read Units,Pinecone,2025,https://www.pinecone.io/learn/manage-serverless-costs,2025-08-29,"Discusses that read cost grows sublinearly with namespace size (e.g., 50k vectors cost 5 RUs; 200k cost ~8 RUs)."
"Vector Database Landscape, 2024",Eckerson Group,2024,https://www.eckerson.com/articles/vector-database-landscape-2024,2025-08-29,"Provides pricing table: Pinecone Standard storage $0.33/GB per month, read units $8.25 per million, write units $2 per million; notes write cost scales linearly and query cost scales sublinearly."
Comparing Vector DB Costs: Pinecone vs Alternatives,SvectorDB Blog,2025,https://svectordb.com/blog/pinecone-cost-calculator,2025-08-29,Offers example calculations: 1M queries using 10 RUs cost $82.50 at $8.25/M RU; writes of 100k vectors cost $0.60; storage for 500k vectors ~1 GB at $0.33/GB costs $0.34 (figures are illustrative).
Pinecone Introduces $50 Minimum Fee – A Hobbyist’s Perspective,Max Rohde,2025,https://maxrohde.com/pinecone-minimum-fee,2025-08-29,Notes that starting September 2025 Pinecone charges a minimum usage fee of $50/month affecting hobby projects.
Evaluation Measures in Information Retrieval,Laura Carnevali / Pinecone,2023,https://www.pinecone.io/learn/offline-evaluation/,2025-08-29,Defines recall@K and explains nDCG@K with formulas and examples; emphasises that recall measures how many relevant items are returned and that NDCG normalises DCG using an ideal ranking.
Dense Retrieval: What Retrieval Granularity Should We Use?,Tong Chen et al.,2023,https://arxiv.org/abs/2312.06648,2025-08-29,Introduces proposition‑level retrieval; reports that proposition indexing improves recall@20 by +10.1 points on unsupervised dense retrievers and +2.2 on supervised retrievers over passage retrieval.
